mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citation_number,citations
Cerdocyon thous,NT,S,Copernicia alba,Arecaceae,N,D,I,1,9.264705882,16.4,1,Bianchi 2014
Cerdocyon thous,NT,S,Mouriri elliptica,Melastomataceae,N,F,I,3,11.88114754,27.31333333,1,Bianchi 2014
Cerdocyon thous,NT,S,Hymenaea stigonocarpa,Fabaceae,N,F,I,NA,12.684,17.4,1,Bianchi 2014
Cerdocyon thous,NT,S,Acrocomia aculeata,Arecaceae,N,D,I,1,23.8,30.06395349,1,Bianchi 2014
Cerdocyon thous,NT,S,Allagoptera leucocalyx,Arecaceae,N,D,I,NA,NA,31.7,1,Bianchi 2014
Cerdocyon thous,NT,S,Annona cornifolia,Annonaceae,N,F,I,40.5,NA,NA,1,Bianchi 2014
Cerdocyon thous,NT,S,Annona dioica,Annonaceae,N,F,I,NA,NA,75.1,1,Bianchi 2014
Cerdocyon thous,NT,S,Diospyros hispida,Ebenaceae,N,F,I,7.75,5.29,42.3,1,Bianchi 2014
Cerdocyon thous,NT,S,Bromelia balansae,Bromeliaceae,N,F,I,23.40909091,NA,20,1,Bianchi 2014
Cerdocyon thous,NT,S,Diospyros hispida,Ebenaceae,N,F,I,7.75,5.29,42.3,2,Jacomo 2004
Cerdocyon thous,NT,S,Bromelia balansae,Bromeliaceae,N,F,I,23.40909091,NA,20,2,Jacomo 2004
Cerdocyon thous,NT,S,Parinari obtusifolia,Chrysobalanaceae,N,F,I,1,NA,20,2,Jacomo 2004
Cerdocyon thous,NT,S,Hovenia dulcis,Rhamnaceae,I,F,I,3,3.225,5.572413793,3,Lima 2015
Cerdocyon thous,NT,S,Bromelia balansae,Bromeliaceae,N,F,I,23.40909091,NA,20,4,Neto 2016
Didelphis marsupialis,NT,S,Mauritia flexuosa,Arecaceae,N,F,I,1,36.66666667,36.42056075,1,Acevedo-Quintero 2016
Didelphis marsupialis,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,2,Andresen 2001
Didelphis marsupialis,NT,S,Phytelephas aequatorialis,Arecaceae,N,F,I,5.320519836,31.867,26.48133333,3,Escobar 2020
Didelphis marsupialis,NT,S,Cecropia obtusifolia,Urticaceae,N,F,I,2792,1.125,5.7,4,Medellin 1994
Lagothrix lagothricha,T,S,Sorocea steinbachii,Moraceae,N,F,I,1,5,10.5,1,Angarita 2002
Lagothrix lagothricha,T,S,Protium crenatum,Burseraceae,N,F,D,1.433333333,8.727272727,20,1,Angarita 2002
Lagothrix lagothricha,T,S,Pereskia aculeata,Cactaceae,N,F,I,2.33333333,6,23.1,1,Angarita 2002
Lagothrix lagothricha,T,S,Perebea mollis,Moraceae,N,F,I,13.71428571,6.677083333,26.8,1,Angarita 2002
Lagothrix lagothricha,T,S,Ficus americana,Moraceae,N,F,I,114.9411765,0.958333333,14.81842105,1,Angarita 2002
Lagothrix lagothricha,T,S,Matisia obliquifolia,Bombacaceae,N,F,I,5,NA,19.1,2,Dew 2001
Lagothrix lagothricha,T,S,Prunus debilis,Rosaceae,N,F,I,NA,NA,18.455,2,Dew 2001
Lagothrix lagothricha,T,S,Leonia glycycarpa,Violaceae,N,F,I,19.61363636,8.761363636,52.5,2,Dew 2001
