mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Alouatta seniculus,NT,S,Moutabea guianensis,Polygalaceae,N,F,I,NA,17.9,13,"Regan 2001, Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,"Regan 2001, Grafton 2004, Julliot 1996"
Alouatta seniculus,NT,S,Iryanthera sagotiana,Myristicaceae,N,F,D,1,21.9,23.86666667,"Regan 2001, Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Caryocar glabrum,Caryocaraceae,N,F,I,1.5,23.8,55,Julliot 1996
Alouatta seniculus,NT,S,Salacia cordata,Celastraceae,N,F,D,3.5,25,43.76033333,Julliot 1996
Alouatta seniculus,NT,S,Ludovia lancifolia,Cyclanthaceae,N,D,I,NA,NA,NA,"Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Mendoncia hoffmannseggiana,Acanthaceae,N,D,D,NA,NA,8,Andresen 2000
Alouatta seniculus,NT,S,Allophylus mollis,Sapindaceae,N,F,I,1,NA,8.535869565,Giraldo 2007
Alouatta seniculus,NT,S,Dendrobangia boliviana,Metteniusaceae,N,F,I,1,NA,10,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Pourouma guianensis,Urticaceae,N,F,I,1,NA,17.07407407,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Pouteria ambelaniifolia,Sapotaceae,N,F,I,1.5,NA,21.626,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Pouteria filipes,Sapotaceae,N,F,I,2,NA,16.5116,Julliot 1996
Alouatta seniculus,NT,S,Guettarda acreana,Rubiaceae,N,F,I,3,NA,5,Julliot 1996
Alouatta seniculus,NT,S,Coussapoa latifolia,Urticaceae,N,F,I,75,NA,8.216666667,Julliot 1996
Alouatta seniculus,NT,S,Miconia acuminifera,Melastomataceae,N,F,I,95,NA,8.591176471,Giraldo 2007
Alouatta seniculus,NT,S,Annona haematantha,Annonaceae,N,F,I,NA,NA,NA,Julliot 1996
Alouatta seniculus,NT,S,Bagassa guianensis,Moraceae,N,F,I,NA,NA,19.16666667,"Regan 2001, Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Byrsonima schomburgkiana,Malpighiaceae,N,F,I,NA,NA,NA,Grafton 2004
Alouatta seniculus,NT,S,Byrsonima stipulacea,Malpighiaceae,N,F,I,NA,NA,10.98,Gomez 2004
Alouatta seniculus,NT,S,Clarisia iricifolia,Moraceae,N,F,I,NA,NA,NA,Andresen 2000
Alouatta seniculus,NT,S,Coccoloba parimensis,Polygonaceae,N,F,I,NA,NA,6.416666667,Julliot 1996
Alouatta seniculus,NT,S,Cordia lomatoloba,Boraginaceae,N,F,I,NA,NA,7.218133333,Julliot 1996
Alouatta seniculus,NT,S,Dendropanax macrophyllus,Araliaceae,N,F,I,NA,NA,9.757142857,Giraldo 2007
Alouatta seniculus,NT,S,Ficus amazonica,Moraceae,N,F,I,NA,NA,7,Julliot 1996
Alouatta seniculus,NT,S,Ficus broadwayi,Moraceae,N,F,I,NA,NA,20,Julliot 1996
Alouatta seniculus,NT,S,Heteropsis jenmanii,Araceae,N,F,I,NA,NA,NA,Julliot 1996
Alouatta seniculus,NT,S,Lacmellea acida,Apocynaceae,N,F,I,NA,NA,NA,Regan 2001
Alouatta seniculus,NT,S,Lacmellea aculeata,Apocynaceae,N,F,I,NA,NA,9.3605,Julliot 1996
Alouatta seniculus,NT,S,Licania membranacea,Chrysobalanaceae,N,F,I,NA,NA,7.793777778,Julliot 1996
Alouatta seniculus,NT,S,Micropholis cayennensis,Sapotaceae,N,F,I,NA,NA,NA,"Regan 2001, Julliot 1996"
